## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/sc/arion/projects/vascbrain/WGS_iPSC/aligned_reads/insert_size_12histogram.pdf INPUT=/sc/arion/projects/vascbrain/WGS_iPSC/aligned_reads/P732912_sorted_dedup_bqsr_reads.bam OUTPUT=/sc/arion/projects/vascbrain/WGS_iPSC/aligned_reads/insert_size_12metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=2 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 21 07:53:42 EDT 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
330	319	52	2	246746129	335.062223	81.45374	266173494	FR	21	39	59	81	105	129	161	201	265	327	483			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	1122
3	1210
4	1261
5	1302
6	1288
7	1264
8	1261
9	1246
10	1241
11	1118
12	1163
13	1293
14	1212
15	1080
16	1143
17	1206
18	1295
19	1835
20	1813
21	1788
22	1836
23	1833
24	1984
25	2166
26	2127
27	2203
28	2252
29	2481
30	2408
31	2433
32	2469
33	2523
34	2815
35	2793
36	2963
37	3226
38	3526
39	3823
40	4202
41	4384
42	4552
43	4814
44	5127
45	5040
46	5098
47	5519
48	5437
49	5426
50	5811
51	6899
52	6380
53	6794
54	7677
55	6887
56	6839
57	7012
58	7187
59	7566
60	7712
61	7615
62	7346
63	7166
64	7461
65	7470
66	7583
67	7602
68	7773
69	8207
70	8034
71	7930
72	7932
73	7952
74	8230
75	8157
76	8533
77	8364
78	8650
79	9362
80	9972
81	10183
82	9965
83	9801
84	10174
85	10325
86	10210
87	10427
88	10846
89	12319
90	12536
91	12230
92	11812
93	11530
94	11684
95	11577
96	11774
97	11814
98	12558
99	13134
100	13488
101	14106
102	14953
103	14878
104	14918
105	14557
106	14963
107	15446
108	16213
109	17591
110	18608
111	19224
112	19671
113	19880
114	20457
115	20656
116	21196
117	22166
118	22979
119	24674
120	25650
121	26170
122	26525
123	27199
124	28153
125	29094
126	30203
127	30969
128	32158
129	33419
130	34895
131	36168
132	37815
133	38632
134	39980
135	41148
136	42106
137	43876
138	45139
139	47681
140	49248
141	50361
142	51463
143	53252
144	55262
145	57434
146	59343
147	61201
148	64151
149	66603
150	68021
151	70204
152	72631
153	75101
154	77147
155	79670
156	82186
157	85112
158	87455
159	89456
160	91017
161	94151
162	96456
163	100071
164	103007
165	106081
166	109275
167	112864
168	117091
169	120289
170	122664
171	125007
172	128742
173	131268
174	135242
175	140030
176	144333
177	148345
178	153532
179	157756
180	161464
181	165294
182	169163
183	173920
184	177908
185	182569
186	186929
187	192526
188	199601
189	204554
190	209367
191	215736
192	220311
193	226218
194	232097
195	237454
196	242958
197	249014
198	255717
199	263455
200	270015
201	277297
202	283800
203	289137
204	297043
205	303445
206	310726
207	318421
208	327452
209	335507
210	345265
211	352755
212	362509
213	370019
214	378410
215	386619
216	395835
217	404583
218	414594
219	426191
220	435509
221	445416
222	456476
223	466055
224	476435
225	487240
226	496605
227	507304
228	518827
229	530746
230	542724
231	554945
232	565276
233	578759
234	591126
235	601109
236	613848
237	625309
238	638925
239	650594
240	664533
241	678318
242	690800
243	705410
244	718780
245	734318
246	745605
247	760518
248	775073
249	787512
250	803570
251	817711
252	832541
253	847078
254	860606
255	875159
256	890347
257	901811
258	917424
259	929947
260	945914
261	960455
262	972152
263	987262
264	1002867
265	1014624
266	1026374
267	1040795
268	1055394
269	1069261
270	1080580
271	1093711
272	1107562
273	1120671
274	1133643
275	1143040
276	1156152
277	1166484
278	1177084
279	1191371
280	1201459
281	1210924
282	1221501
283	1232292
284	1240587
285	1255399
286	1263450
287	1273354
288	1279973
289	1289840
290	1297871
291	1306086
292	1312006
293	1321755
294	1324653
295	1334600
296	1341918
297	1348177
298	1351473
299	1359146
300	1364074
301	1367826
302	1373409
303	1378934
304	1383213
305	1386900
306	1391444
307	1396382
308	1398071
309	1399961
310	1401945
311	1404034
312	1407952
313	1405926
314	1406169
315	1410960
316	1407904
317	1409099
318	1410396
319	1412847
320	1412441
321	1408256
322	1408976
323	1407135
324	1403333
325	1402286
326	1401023
327	1399302
328	1398205
329	1393107
330	1391863
331	1388470
332	1384965
333	1380440
334	1378079
335	1375195
336	1368786
337	1364410
338	1360035
339	1356809
340	1346840
341	1342855
342	1336192
343	1328409
344	1323178
345	1316337
346	1310409
347	1305449
348	1301859
349	1294671
350	1287767
351	1281642
352	1273699
353	1266848
354	1258318
355	1249454
356	1242261
357	1233542
358	1226561
359	1218346
360	1211949
361	1205773
362	1197347
363	1185709
364	1176431
365	1168299
366	1161110
367	1149812
368	1141572
369	1131572
370	1123454
371	1115755
372	1104646
373	1096633
374	1087415
375	1075723
376	1066694
377	1057797
378	1048282
379	1038100
380	1028311
381	1019324
382	1011060
383	999206
384	989745
385	979810
386	971359
387	959732
388	950884
389	941582
390	931776
391	923714
392	911948
393	900405
394	892262
395	881469
396	872345
397	862625
398	852743
399	842962
400	833265
401	823379
402	814878
403	804702
404	794525
405	784732
406	777042
407	765957
408	756763
409	746693
410	736562
411	729434
412	719809
413	710952
414	700270
415	692700
416	681989
417	674513
418	665208
419	654911
420	647396
421	639899
422	629569
423	620887
424	610123
425	602427
426	593303
427	585475
428	579035
429	570502
430	561974
431	552951
432	546053
433	537234
434	529717
435	520317
436	513742
437	506076
438	497244
439	490534
440	482670
441	475488
442	468512
443	461651
444	454494
445	446486
446	440726
447	434152
448	426112
449	419187
450	411616
451	407401
452	399341
453	392698
454	386092
455	379591
456	373946
457	368138
458	362144
459	356748
460	349075
461	343283
462	338422
463	331566
464	325958
465	320780
466	314945
467	309429
468	304309
469	299276
470	293156
471	287565
472	283243
473	278168
474	273609
475	268969
476	263252
477	257875
478	253200
479	249120
480	244027
481	239076
482	235012
483	231178
484	226307
485	221855
486	217388
487	213492
488	209815
489	206799
490	202794
491	198646
492	193807
493	190503
494	187592
495	184009
496	180368
497	176239
498	173550
499	169792
500	167109
501	163624
502	160152
503	157162
504	153691
505	149805
506	147722
507	145306
508	141993
509	139371
510	136695
511	133581
512	130974
513	128370
514	125306
515	123199
516	120593
517	118426
518	116266
519	113283
520	110977
521	108737
522	106931
523	103970
524	101939
525	100154
526	97765
527	95755
528	93990
529	91820
530	89667
531	88871
532	86715
533	84403
534	82745
535	81799
536	79432
537	77888
538	75860
539	74712
540	72876
541	71316
542	69158
543	68298
544	66578
545	65452
546	63963
547	62750
548	61277
549	59790
550	59015
551	57863
552	56536
553	55262
554	53954
555	52451
556	51749
557	50546
558	49015
559	48134
560	47168
561	46106
562	45285
563	44085
564	43291
565	42324
566	41372
567	40923
568	39622
569	38849
570	37894
571	37146
572	36315
573	35541
574	34928
575	34015
576	33416
577	32434
578	31488
579	31123
580	30719
581	29845
582	29287
583	28472
584	27715
585	27206
586	26728
587	26232
588	25360
589	24860
590	24389
591	23722
592	23157
593	22867
594	22381
595	21863
596	21113
597	21180
598	20512
599	20066
600	19883
601	19389
602	18916
603	18399
604	17758
605	17645
606	17272
607	16995
608	16555
609	16269
610	15749
611	15488
612	15201
613	15042
614	14497
615	14042
616	13808
617	13639
618	13340
619	12796
620	12584
621	12071
622	12064
623	12015
624	11554
625	11671
626	11194
627	10985
628	10694
629	10574
630	10089
631	10153
632	9927
633	9805
634	9580
635	9315
636	9083
637	8943
638	8863
639	8544
640	8583
641	8267
642	8032
643	7756
644	7564
645	7386
646	7246
647	7088
648	7188
649	6931
650	6764
651	6581
652	6514
653	6399
654	6239
655	6081
656	6099
657	6015
658	5892
659	5820
660	5534
661	5536
662	5569
663	5340
664	5179
665	5152
666	5062
667	4837
668	4813
669	4650
670	4657
671	4603
672	4479
673	4410
674	4351
675	4229
676	4017
677	4161
678	3950
679	3903
680	3943
681	3834
682	3659
683	3798
684	3791
685	3555
686	3423
687	3528
688	3432
689	3281
690	3176
691	2882
692	2796
693	2813
694	2737
695	2495
696	2545
697	2408
698	2400
699	2317
700	2351
701	2225
702	2228
703	2183
704	2205
705	2135
706	2109
707	1999
708	2072
709	2032
710	2039
711	1945
712	1913
713	1915
714	1861
715	1814
716	1784
717	1817
718	1844
719	1841
720	1723
721	1625
722	1659
723	1602
724	1650
725	1605
726	1615
727	1543
728	1500
729	1542
730	1529
731	1536
732	1390
733	1420
734	1432
735	1463
736	1369
737	1337
738	1367
739	1345
740	1258
741	1263
742	1287
743	1264
744	1176
745	1241
746	1188
747	1209
748	1187
749	1132
750	1191
751	1124
752	1087
753	1078
754	1089
755	1106
756	1064
757	1024
758	1013
759	1044
760	1069
761	1014
762	957
763	1004
764	937
765	931
766	897
767	953
768	985
769	898
770	891
771	855
772	883
773	896
774	881
775	829
776	845
777	881
778	888
779	848
780	794
781	854
782	855
783	795
784	835
785	779
786	746
787	736
788	793
789	725
790	690
791	752
792	748
793	708
794	684
795	701
796	719
797	740
798	649
799	688
800	663
801	644
802	668
803	648
804	660
805	651
806	608
807	667
808	632
809	656
810	654
811	630
812	605
813	654
814	587
815	594
816	576
817	582
818	556
819	592
820	636
821	580
822	567
823	578
824	528
825	551
826	552
827	524
828	500
829	515
830	494
831	498
832	494
833	497
834	471
835	511
836	462
837	487
838	439
839	509
840	456
841	483
842	475
843	455
844	454
845	469
846	469
847	453
848	448
849	482
850	468

